
 sfworker.cc l261 tx_time 22.286400, tti 9946, rnti 95
 sfworker.cc l261 tx_time 23.264401, tti 684, rnti 95
 sfworker.cc l261 tx_time 23.274401, tti 694, rnti 95
 sfworker.cc l261 tx_time 23.276401, tti 696, rnti 95
 sfworker.cc l261 tx_time 23.278401, tti 698, rnti 95
 sfworker.cc l261 tx_time 23.282401, tti 702, rnti 95
 sfworker.cc l261 tx_time 23.284401, tti 704, rnti 95
 sfworker.cc l261 tx_time 23.286401, tti 706, rnti 95
 sfworker.cc l261 tx_time 24.264402, tti 1684, rnti 95
 sfworker.cc l261 tx_time 24.274402, tti 1694, rnti 95
 sfworker.cc l261 tx_time 24.276402, tt 1695, rnti 95
 sfworker.cc l261 tx_time 24.277402, tti 1697, rnti 95
 sfworker.cc l261 tx_time 24.281402, tti 1701, rnti 95
 sfworker.cc l261 tx_time 24.283402, tti 1703, rnti 95
 sfworker.cc l261 tx_time 24.285402, tti 1705, rnti 95
 sfworker.cc l261 tx_time 24.289402, tti 1709, rnti 95
 sfworker.cc l261 tx_time 25.293403, tti 2713, rnti 95
 sfworker.cc l261 tx_time 25.295403, tti 2715, rnti 95
 sfworker.cc l261 tx_time 25.297403, tti 2717, rnti 95
 sfworker.cc l261 tx_time 25.301403, tti 2721, rnti 95
 sfworker.cc l261 tx_time 25.303403, tti 2723, rnti 95
 sfworker.cc l261 tx_time 25.305403, tti 2725, rnti 95
 sfworker.cc l261 tx_time 25.309403, tti 2729, rnti 95
 sfworker.cc l261 tx_time 26.293404, tti 3713, rnti 95
 sfworker.cc l261 tx_time 26.295404, tti 3715, rnti 95
 sfworker.cc l261 tx_time 26.297404, tti 3717, rnti 95
 sfworker.cc l261 tx_time 26.301404, tti 3721, rnti 95
 sfworker.cc l261 tx_time 26.303404, tti 3723, rnti 95
 sfworker.cc l261 tx_time 26.309404, tti 3729, rnti 95
 sfworker.cc l261 tx_time 27.293405, tti 4713, rnti 95
 sfworker.cc l261 tx_time 27.295405, tti 4715, rnti 95
 sfworker.cc l261 tx_time 27.297405, tti 4717, rnti 95
 sfworker.cc l261 tx_time 27.301405, tti 4721, rnti 95
 sfworker.cc l261 tx_time 27.303405, tti 4723, rnti 95
 sfworker.cc l261 tx_time 27.309405, tti 4729, rnti 95
 sfworker.cc l261 tx_time 28.293406, tti 5713, rnti 95
 sfworker.cc l261 tx_time 28.295406, tti 5715, rnti 95
 sfworker.cc l261 tx_time 28.297406, tti 5717, rnti 95
 sfworker.cc l261 tx_time 28.301407, tti 5721, rnti 95
 sfworker.cc l261 tx_time 28.303407, tti 5723, rnti 95
 sfworker.cc l261 tx_time 28.309407, tti 5729, rnti 95
 sfworker.cc l261 tx_time 29.293408, tti 6713, rnti 95
 sfworker.cc l261 tx_time 29.295408, tti 6715, rnti 95
 sfworker.cc l261 tx_time 29.297408, tti 6717, rnti 95
 sfworker.cc l261 tx_time 29.301408, tti 6721, rnti 95
 sfworker.cc l261 tx_time 29.303408, tti 6723, rnti 95
 sfworker.cc l261 tx_time 29.309408, tti 6729, rnti 95
 sfworker.cc l261 tx_time 30.293409, tti 7713, rnti 95
 sfworker.cc l261 tx_time 30.295409, tti 7715, rnti 95
 sfworker.cc l261 tx_time 30.297409, tti 7717, rnti 95
 sfworker.cc l261 tx_time 30.301409, tti 7721, rnti 95
 sfworker.cc l261 tx_time 30.303409, tti 7723, rnti 95
 sfworker.cc l261 tx_time 30.309409, tti 7729, rnti 95
 sfworker.cc l261 tx_time 31.293410, tti 8713, rnti 95
 sfworker.cc l261 tx_time 31.295410, tti 8715, rnti 95
 sfworker.cc l261 tx_time 31.297410, tti 8717, rnti 95
 sfworker.cc l261 tx_time 31.301410, tti 8721, rnti 95
